neighbourhood_id,zone
0,6
1,3
2,11
3,7
4,13
5,10
6,2
7,7
8,14
9,1
10,3
11,13
12,2
13,10
14,5
15,11
16,3
17,14
18,6
19,3
20,12
21,10
22,10
23,11
24,1
25,13
26,3
27,3
28,5
29,8
30,15
31,4
32,3
33,9
34,1
35,6
36,1
37,7
38,2
39,1
40,5
41,15
42,2
43,15
44,7
45,4
46,14
47,8
48,1
49,12
50,10
51,10
52,5
53,14
54,14
55,4
56,10
57,6
58,12
59,10
60,6
61,14
62,12
63,11
64,2
65,4
66,8
67,13
68,9
69,5
70,4
71,5
72,8
73,6
74,15
75,14
76,10
77,11
78,11
79,7
80,3
81,13
82,15
83,4
84,13
85,10
86,14
87,14
88,3
89,15
90,5
91,3
92,11
93,14
94,6
95,6
96,2
97,13
98,5
99,14
100,15
101,5
102,4
103,10
104,10
105,13
106,14
107,7
108,3
109,15
110,11
111,4
112,4
113,4
114,15
115,8
116,10
117,14
118,8
119,9
120,14
121,14
122,13
123,5
124,15
125,12
126,8
127,14
128,12
129,8
130,10
131,6
132,1
133,4
134,11
135,10
136,8
137,14
138,10
139,9
140,5
141,11
142,3
143,7
144,7
145,15
146,11
147,15
148,4
149,10
150,8
151,2
152,11
153,12
154,11
155,8
156,8
157,3
158,2
159,7
160,10
161,7
162,12
163,14
164,14
165,11
166,10
167,12
168,8
169,15
170,7
171,1
172,4
173,5
174,10
175,9
176,6
177,14
178,3
179,3
180,2
181,10
182,6
183,5
184,2
185,13
186,14
187,1
188,4
189,8
190,5
191,13
192,9
193,5
194,15
195,9
196,1
197,5
198,5
199,15
200,2
201,4
202,2
203,14
204,3
205,14
206,7
207,14
208,13
209,2
210,4
211,5
212,7
213,12
214,4
215,12
216,8
217,15
218,11
219,8
220,1
221,13
222,8
223,3
224,8
225,15
226,3
227,1
228,6
229,8
230,6
231,4
232,13
233,8
234,6
235,2
236,2
237,9
238,8
239,8
240,10
241,6
242,10
243,11
244,9
245,2
246,12
247,13
248,7
249,7
250,7
251,10
252,9
253,1
254,6
